"Save Autoresponder","Save Autoresponder"
"Delete Autoresponder","Delete Autoresponder"
"Save and Continue Edit","Save and Continue Edit"
Save,Save
"Save & Close","Save & Close"
"Edit Autoresponder '%1'","Edit Autoresponder '%1'"
"New Autoresponder","New Autoresponder"
Content,Content
Tags,Tags
"Tag this autoresponder with theses tags","Tag this autoresponder with theses tags"
Segment,Segment
"-- Any --","-- Any --"
"Store View","Store View"
"Previous Customers","Previous Customers"
No,No
Yes,Yes
"If this autoresponder should be sent to previous customers instead of current subscribers.","If this autoresponder should be sent to previous customers instead of current subscribers."
Status,Status
Active,Active
Inactive,Inactive
"Active From Date","Active From Date"
"Active To Date","Active To Date"
"Use Config","Use Config"
"Track Stats?","Track Stats?"
"If you want to track stats/conversions in this campaign","If you want to track stats/conversions in this campaign"
Auto-Login?,Auto-Login?
"If customers should be logged in automatically after opening a campaign link","If customers should be logged in automatically after opening a campaign link"
Cancellation,Cancellation
"Cancellation Triggers","Cancellation Triggers"
"When selected events occur, pending emails won't be sent.","When selected events occur, pending emails won't be sent."
Settings,Settings
"Please Select","Please Select"
Name,Name
Campaign,Campaign
"No links detected in selected campaign","No links detected in selected campaign"
Link,Link
"Number of Days","Number of Days"
"How many days before this event happens should the autoresponder be triggered","How many days before this event happens should the autoresponder be triggered"
Form,Form
Products,Products
"Send the Autoresponder only for this products. One SKU per line. [2] One/both of these fields is required","Send the Autoresponder only for this products. One SKU per line. [2] One/both of these fields is required"
"Product categories","Product categories"
"Product Categories","Product Categories"
"Send only if the product is in one of the selected categories. [2] One/both of these fields is required","Send only if the product is in one of the selected categories. [2] One/both of these fields is required"
"Magento Observers","Magento Observers"
"Product SKU","Product SKU"
"Go to Product Listing","Go to Product Listing"
"Previous Customer Group","Previous Customer Group"
"New Customer Group","New Customer Group"
"Customer Attribute","Customer Attribute"
"Fire When","Fire When"
"New value is not empty","New value is not empty"
"New value is not empty and old value was not empty","New value is not empty and old value was not empty"
"New value is not empty and old value was empty","New value is not empty and old value was empty"
"New value is empty","New value is empty"
"New value is empty and old value was not empty","New value is empty and old value was not empty"
"New value is empty and old value was empty","New value is empty and old value was empty"
"Apply Only Once?","Apply Only Once?"
"Every Time Occurs","Every Time Occurs"
"To the same subscriber","To the same subscriber"
"UTM Params","UTM Params"
"-- Select --","-- Select --"
"UTM Parameter","UTM Parameter"
Condition,Condition
"Is Present/Any Value","Is Present/Any Value"
Is,Is
"Starts With","Starts With"
"Ends With","Ends With"
Contains,Contains
"Does Not Contain","Does Not Contain"
Wildcard,Wildcard
"Value to Match","Value to Match"
"Separate Multiple Values with a comma , Leave empty to ignore. Wildcard example: some*text","Separate Multiple Values with a comma , Leave empty to ignore. Wildcard example: some*text"
"Match Payment Method","Match Payment Method"
"Match Shipping Method","Match Shipping Method"
"New Status","New Status"
"-- Ignore --","-- Ignore --"
"From Status","From Status"
"Max. Time","Max. Time"
"Do not send if more than X minutes have passed since the previous status was set. (use 0 or leave blank to ignore)","Do not send if more than X minutes have passed since the previous status was set. (use 0 or leave blank to ignore)"
"Search Value","Search Value"
"Separate multiple values with a comma ,","Separate multiple values with a comma ,"
"Query String Match","Query String Match"
Equal,Equal
"Autoresponder Information","Autoresponder Information"
Triggers,Triggers
Information,Information
Actions,Actions
Segmentation,Segmentation
ID,ID
Event,Event
"N. Sends","N. Sends"
Conversions,Conversions
"Conv. Amount","Conv. Amount"
"From Date","From Date"
"To Date","To Date"
View,View
Queue,Queue
Campaigns,Campaigns
"New Campaign","New Campaign"
Delete,Delete
"Follow Up","Follow Up"
"Cancel this campaign? This action cannot be undone","Cancel this campaign? This action cannot be undone"
Cancel,Cancel
"Pause campaign?","Pause campaign?"
Pause,Pause
"Resume campaign?","Resume campaign?"
Resume,Resume
Preview,Preview
"Start deploying the campaign now?","Start deploying the campaign now?"
"Save & Send","Save & Send"
Reports,Reports
"Duplicate & Save","Duplicate & Save"
"Edit Campaign '%1'","Edit Campaign '%1'"
Subject,Subject
"Sub. Name","Sub. Name"
"Sub. Email","Sub. Email"
Date,Date
"No campaigns have been sent yet.","No campaigns have been sent yet."
"Campaign Name","Campaign Name"
"Last Run","Last Run"
Sent,Sent
"U. Views","U. Views"
"U. Clicks","U. Clicks"
Detail,Detail
"Stand By","Stand By"
Running,Running
Finished,Finished
Conditions,Conditions
